21.2.1.8. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron, nemzetgazdasági áganként, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
2019.;I.;360 655;2 214 553;1 932 115;426 098;5 583 744;1 099 555;575 150;489 731;321 868;679 304;910 766;1 274 111;262 201;1 596 175;10 188 679
;II.;355 541;2 197 114;1 922 426;411 926;5 635 985;1 123 187;574 374;502 098;330 012;687 307;921 692;1 273 946;266 722;1 611 502;10 226 878
;III.;360 462;2 233 735;1 935 536;432 639;5 708 561;1 135 460;589 251;514 990;337 649;689 231;934 688;1 267 352;264 379;1 626 747;10 372 737
;IV.;359 198;2 191 987;1 905 946;388 195;5 804 879;1 167 571;587 179;530 915;344 858;707 713;947 901;1 267 164;272 137;1 644 619;10 421 907
2020.;I.;329 346;2 143 463;1 861 754;411 025;5 794 109;1 171 994;598 630;547 312;340 769;721 612;963 864;1 251 597;265 457;1 640 074;10 365 949
;II.;325 706;1 670 642;1 433 791;363 467;5 071 082;960 933;479 470;503 082;346 280;665 361;798 183;1 137 133;208 690;1 423 829;8 877 601
;III.;330 963;2 123 618;1 848 708;361 139;5 526 021;1 049 981;510 280;542 301;349 964;689 580;878 789;1 246 593;230 448;1 595 233;9 937 417
;IV.;334 271;2 142 441;1 875 590;380 597;5 587 086;1 085 788;510 338;576 889;355 851;694 276;920 814;1 242 465;236 459;1 609 294;10 075 739
2021.;I.;326 771;2 126 708;1 883 104;369 173;5 711 928;1 121 558;501 509;617 843;371 368;703 085;969 124;1 236 789;251 711;1 625 557;10 188 345
;II.;327 527;2 161 039;1 920 309;422 538;5 847 293;1 167 283;528 162;645 383;378 577;714 844;1 008 982;1 234 321;254 562;1 639 169;10 429 193
;III.;324 601;2 129 405;1 900 609;416 930;6 058 557;1 206 418;551 893;678 750;389 429;726 036;1 045 469;1 246 306;271 063;1 660 148;10 606 889
;IV.;316 784;2 147 593;1 928 584;446 643;6 205 882;1 234 610;591 868;697 880;397 852;736 380;1 086 100;1 258 359;281 673;1 682 443;10 825 166
2022.;I.;309 910;2 212 812;1 968 937;439 297;6 314 046;1 281 251;611 271;709 214;397 578;743 789;1 110 021;1 273 694;285 783;1 706 372;10 996 474
;II.;209 350;2 240 554;2 018 330;433 616;6 455 470;1 299 673;631 928;725 762;404 607;753 911;1 142 340;1 283 416;295 427;1 727 554;11 085 393
;III.;198 544;2 304 878;2 062 547;433 836;6 408 824;1 300 883;619 907;735 163;410 153;756 653;1 165 387;1 283 808;289 989;1 740 569;11 037 220
;IV.;;;;;;;;;;;;;;;
2022.;I–III.;717 804;6 758 244;6 049 814;1 306 749;19 178 340;3 881 807;1 863 106;2 170 139;1 212 338;2 254 353;3 417 748;3 840 918;871 199;5 174 495;33 119 087
