22.1.2.7. A népmozgalmi események megye és régió szerint;;;;;;;;;;;;;;;;;;;;;;
Területi egység neve;Területi egység szintje;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Hajdú-Bihar;megye;-750;-871;-1 088;-996;-1 172;-1 055;-1 140;-1 102;-1 127;-1 441;-1 366;-1 379;-1 224;-925;-1 132;-672;-1 074;-1 408;-1 370;-1 388;-2 355
Jász-Nagykun-Szolnok;megye;-1 603;-1 784;-2 078;-1 717;-2 072;-1 690;-1 917;-1 845;-1 841;-2 196;-2 202;-2 024;-1 913;-1 803;-2 083;-1 814;-1 940;-1 998;-2 222;-2 509;-3 118
Szabolcs-Szatmár-Bereg;megye;-311;-435;-987;-711;-1 001;-518;-782;-776;-874;-1 484;-1 159;-1 088;-935;-698;-907;-526;-813;-1 314;-820;-1 477;-2 264
Észak-Alföld;régió;-2 664;-3 090;-4 153;-3 424;-4 245;-3 263;-3 839;-3 723;-3 842;-5 121;-4 727;-4 491;-4 072;-3 426;-4 122;-3 012;-3 827;-4 720;-4 412;-5 374;-7 737
Bács-Kiskun ;megye;-2 267;-2 186;-2 947;-2 182;-2 564;-2 009;-2 251;-2 083;-2 120;-2 731;-2 743;-2 649;-2 465;-2 474;-2 460;-2 195;-2 414;-2 150;-2 382;-2 686;-3 910
Békés;megye;-2 092;-2 096;-2 429;-2 503;-2 519;-2 524;-2 744;-2 639;-2 581;-2 954;-2 823;-2 869;-2 609;-2 642;-2 726;-2 574;-2 869;-2 608;-2 777;-3 252;-3 523
Csongrád-Csanád;megye;-1 836;-2 036;-1 940;-2 039;-1 912;-1 701;-1 899;-1 583;-1 915;-1 983;-2 228;-2 144;-1 967;-1 930;-2 313;-1 803;-2 016;-2 229;-2 029;-2 348;-2 917
Dél-Alföld;régió;-6 195;-6 318;-7 316;-6 724;-6 995;-6 234;-6 894;-6 305;-6 616;-7 668;-7 794;-7 662;-7 041;-7 046;-7 499;-6 572;-7 299;-6 987;-7 188;-8 286;-10 350
Alföld és Észak;nagyrégió;-13 338;-14 219;-17 138;-15 832;-17 256;-14 317;-16 261;-15 034;-16 118;-19 248;-18 809;-18 130;-16 752;-15 648;-17 145;-14 374;-16 396;-17 115;-17 196;-20 219;-27 019
Ország összesen;ország;-35 136;-36 029;-41 176;-37 355;-38 236;-31 732;-35 325;-30 878;-33 972;-40 121;-40 746;-39 171;-38 089;-34 798;-40 007;-33 990;-40 097;-41 238;-40 410;-48 664;-62 582
Csecsemõhalálozás;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;129;100;86;87;72;86;76;81;56;62;56;48;57;60;54;50;34;40;36;23;26
Pest ;megye, régió;91;65;77;58;54;65;68;70;49;63;44;41;42;47;40;38;39;30;39;37;26
Közép-Magyarország;nagyrégió;220;165;163;145;126;151;144;151;105;125;100;89;99;107;94;88;73;70;75;60;52
Fejér;megye;24;26;31;24;28;24;32;19;22;13;19;19;21;17;18;9;10;9;9;16;17
Komárom-Esztergom;megye;22;23;22;21;19;19;24;22;13;13;6;16;16;12;18;11;7;7;8;9;15
Veszprém;megye;18;16;23;18;17;14;10;15;10;17;19;23;12;13;14;11;3;5;9;14;10
Közép-Dunántúl;régió;64;65;76;63;64;57;66;56;45;43;44;58;49;42;50;31;20;21;26;39;42
Gyõr-Moson-Sopron;megye;26;28;28;26;28;21;20;11;21;22;15;28;21;22;16;11;19;14;8;15;13
Vas;megye;15;23;11;10;12;13;15;18;18;15;11;12;7;13;4;6;7;9;9;9;8
Zala;megye;23;22;17;12;14;11;13;11;8;7;6;13;6;9;7;11;11;9;7;9;9
Nyugat-Dunántúl;régió;64;73;56;48;54;45;48;40;47;44;32;53;34;44;27;28;37;32;24;33;30
Baranya;megye;30;16;23;22;18;16;23;18;16;21;13;15;15;14;12;19;5;7;9;5;7
Somogy;megye;41;21;28;26;11;21;21;15;18;15;13;23;25;19;16;13;12;16;12;19;8
Tolna ;megye;16;21;19;14;12;11;12;6;8;11;8;10;14;11;8;7;8;9;6;4;6
Dél-Dunántúl;régió;87;58;70;62;41;48;56;39;42;47;34;48;54;44;36;39;25;32;27;28;21
Dunántúl;nagyrégió;215;196;202;173;159;150;170;135;134;134;110;159;137;130;113;98;82;85;77;100;93
Borsod-Abaúj-Zemplén;megye;82;82;73;78;67;83;87;72;64;43;58;49;73;42;36;38;33;43;35;40;41
Heves;megye;24;27;20;21;18;19;18;23;16;10;12;16;16;13;6;8;10;13;16;12;6
Nógrád ;megye;17;17;18;19;8;13;10;12;15;8;13;13;11;6;10;9;12;10;10;7;8
Észak-Magyarország;régió;123;126;111;118;93;115;115;107;95;61;83;78;100;61;52;55;55;66;61;59;55
Hajdú-Bihar;megye;24;30;23;20;32;23;21;20;26;29;21;13;25;18;18;19;15;9;21;13;18
Jász-Nagykun-Szolnok;megye;32;28;25;23;23;10;23;22;28;29;14;21;18;22;22;16;15;8;22;13;12
Szabolcs-Szatmár-Bereg;megye;74;61;56;54;52;52;38;29;30;40;35;31;26;27;35;40;32;29;35;29;40
Észak-Alföld;régió;130;119;104;97;107;85;82;71;84;98;70;65;69;67;75;75;62;46;78;55;70
Bács-Kiskun ;megye;33;33;42;36;47;27;28;39;36;27;27;22;19;20;21;25;33;16;12;25;17
Békés;megye;28;23;34;22;27;17;14;21;19;12;17;6;13;21;14;9;13;9;17;10;12
Csongrád-Csanád;megye;33;28;27;29;38;19;20;22;15;15;21;16;11;11;12;15;8;9;11;9;8
Dél-Alföld;régió;94;84;103;87;112;63;62;82;70;54;65;44;43;52;47;49;54;34;40;44;37
Alföld és Észak;nagyrégió;347;329;318;302;312;263;259;260;249;213;218;187;212;180;174;179;171;146;179;158;162
Ország összesen;ország;789;693;690;628;607;571;577;553;495;481;433;438;454;421;383;368;332;304;335;319;309
Házasságkötés;;;;;;;;;;;;;;;;;;;;;;
Budapest;fõváros, régió;7 981;8 672;8 481;8 434;8 611;8 946;8 260;8 443;7 906;7 676;7 763;7 698;7 898;7 954;8 736;9 249;8 959;9 018;11 159;10 910;12 365
Pest ;megye, régió;4 419;4 872;4 954;4 860;4 950;5 152;4 925;4 861;4 403;4 306;4 455;4 447;4 433;4 643;5 392;6 183;6 084;6 187;8 387;8 690;9 458
Közép-Magyarország;nagyrégió;12 400;13 544;13 435;13 294;13 561;14 098;13 185;13 304;12 309;11 982;12 218;12 145;12 331;12 597;14 128;15 432;15 043;15 205;19 546;19 600;21 823
Fejér;megye;1 773;1 859;1 798;1 795;1 870;1 862;1 687;1 671;1 463;1 501;1 530;1 592;1 653;1 658;1 968;2 133;2 118;2 193;2 945;3 098;3 403
Komárom-Esztergom;megye;1 350;1 418;1 379;1 307;1 365;1 317;1 298;1 286;1 239;1 188;1 230;1 175;1 191;1 324;1 580;1 687;1 672;1 577;2 222;2 298;2 522
Veszprém;megye;1 509;1 660;1 566;1 411;1 520;1 526;1 368;1 402;1 274;1 216;1 249;1 282;1 298;1 339;1 619;1 858;1 663;1 780;2 189;2 385;2 562
Közép-Dunántúl;régió;4 632;4 937;4 743;4 513;4 755;4 705;4 353;4 359;3 976;3 905;4 009;4 049;4 142;4 321;5 167;5 678;5 453;5 550;7 356;7 781;8 487
Gyõr-Moson-Sopron;megye;1 982;2 138;2 162;2 094;2 014;2 253;2 089;2 062;1 845;1 732;1 774;1 812;1 779;1 854;2 231;2 524;2 457;2 419;3 080;3 270;3 710
Vas;megye;1 104;1 115;1 152;1 050;1 106;1 087;1 014;937;898;807;859;926;884;953;1 083;1 235;1 100;1 160;1 586;1 668;1 828
Zala;megye;1 150;1 125;1 199;1 146;1 147;1 147;978;996;878;856;920;878;927;902;1 112;1 200;1 197;1 211;1 547;1 482;1 689
Nyugat-Dunántúl;régió;4 236;4 378;4 513;4 290;4 267;4 487;4 081;3 995;3 621;3 395;3 553;3 616;3 590;3 709;4 426;4 959;4 754;4 790;6 213;6 420;7 227
Baranya;megye;1 747;1 809;1 734;1 686;1 723;1 731;1 624;1 584;1 444;1 322;1 353;1 374;1 494;1 597;1 798;1 974;1 939;1 961;2 391;2 446;2 560
Somogy;megye;1 318;1 271;1 312;1 206;1 215;1 218;1 055;1 024;910;995;981;964;1 012;1 046;1 289;1 570;1 478;1 453;1 746;1 878;1 886
Tolna ;megye;1 006;1 017;967;922;937;881;876;846;775;778;820;832;833;861;1 093;1 156;1 086;1 106;1 578;1 469;1 553
Dél-Dunántúl;régió;4 071;4 097;4 013;3 814;3 875;3 830;3 555;3 454;3 129;3 095;3 154;3 170;3 339;3 504;4 180;4 700;4 503;4 520;5 715;5 793;5 999
Dunántúl;nagyrégió;12 939;13 412;13 269;12 617;12 897;13 022;11 989;11 808;10 726;10 395;10 716;10 835;11 071;11 534;13 773;15 337;14 710;14 860;19 284;19 994;21 713
Borsod-Abaúj-Zemplén;megye;3 031;3 164;2 965;2 837;2 918;2 864;2 484;2 476;2 251;2 221;2 087;2 186;2 132;2 404;3 112;3 728;3 613;3 592;4 427;4 388;4 609
Heves;megye;1 363;1 381;1 346;1 357;1 267;1 298;1 176;1 136;1 016;940;1 020;949;991;1 068;1 263;1 569;1 530;1 480;1 908;1 888;2 137
Nógrád ;megye;888;888;847;825;824;742;668;669;626;671;594;582;636;658;879;968;989;1 051;1 207;1 223;1 320
Észak-Magyarország;régió;5 282;5 433;5 158;5 019;5 009;4 904;4 328;4 281;3 893;3 832;3 701;3 717;3 759;4 130;5 254;6 265;6 132;6 123;7 542;7 499;8 066
