21.2.1.5. A bruttó hazai termék (GDP) termelése 2015. évi átlagáron nemzetgazdasági áganként, negyedévente – ESA2010 [millió forint];;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás;ezen belül: kereskedelem, gépjármûjavítás;ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";ezen belül: oktatás;ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Termékadók és -támogatások egyenlege;GDP összesen (piaci beszerzési áron)
;II.;358 676;2 145 297;1 899 936;247 161;4 793 415;876 844;754 478;122 366;471 613;357 962;273 290;632 401;725 499;1 257 696;600 387;333 532;323 777;198 109;1 372 927;8 917 476
;III.;529 906;1 958 846;1 709 845;308 866;4 949 166;944 912;809 953;134 959;515 314;387 004;270 420;630 052;718 574;1 258 667;600 857;335 348;322 462;224 223;1 464 433;9 211 217
;IV.;375 642;2 171 394;1 888 315;351 345;5 242 511;1 073 578;947 558;126 020;580 450;427 083;240 869;635 851;757 048;1 280 640;602 320;352 250;326 070;246 991;1 454 390;9 595 281
2017.;I.;214 754;1 950 693;1 693 976;168 792;4 681 409;769 016;654 848;113 925;436 164;358 835;285 628;638 800;723 152;1 270 581;589 986;333 671;347 412;193 953;1 362 862;8 385 604
;II.;327 352;2 178 361;1 944 024;293 965;5 004 161;939 236;802 651;136 357;473 515;398 228;290 943;639 798;802 189;1 250 259;588 037;331 470;330 980;213 748;1 435 574;9 242 917
;III.;505 546;1 993 766;1 759 968;369 205;5 203 502;1 015 606;860 854;154 337;531 734;436 808;285 629;640 814;820 745;1 237 163;592 505;332 662;311 857;243 937;1 530 958;9 599 284
;IV.;344 002;2 192 915;1 922 207;441 414;5 511 553;1 163 049;1 023 860;139 616;605 119;475 842;253 674;652 210;862 033;1 250 361;587 904;343 398;318 932;263 770;1 531 359;10 033 575
2018.;I.;224 001;1 979 353;1 726 809;188 281;4 994 199;854 404;727 203;126 580;478 962;419 642;300 141;662 638;782 383;1 278 174;594 175;332 762;351 373;212 761;1 420 074;8 806 018
;II.;341 437;2 230 758;1 999 941;335 708;5 328 616;1 043 932;900 212;143 775;513 520;436 164;306 779;662 530;877 525;1 264 636;597 360;334 873;332 474;234 230;1 498 697;9 739 437
;III.;525 645;2 041 297;1 794 299;444 061;5 506 744;1 112 083;946 550;164 727;564 178;461 907;301 242;674 216;896 493;1 259 439;592 567;350 138;316 933;256 396;1 594 481;10 129 703
