14.1.1.32. Az egy fõre jutó éves élelmiszer-fogyasztás mennyisége a referenciaszemély korcsoportja, iskolai végzettsége és a háztartástagok korösszetétele szerint [kilogramm];;;;;;;;;;;;;;;;
Megnevezés;Összesen;Referenciaszemély korcsoportja: 25 évesnél fiatalabb;Referenciaszemély korcsoportja: 25–54 éves;Referenciaszemély korcsoportja: 55–64 éves;Referenciaszemély korcsoportja: 65 éves és idõsebb;Referenciaszemély iskolai végzettsége: alapfokú vagy nincs iskolai végzettsége;Referenciaszemély iskolai végzettsége: középfokú érettségi nélkül;Referenciaszemély iskolai végzettsége: középfokú érettségivel;Referenciaszemély iskolai végzettsége: felsõfokú;A háztartástagok korösszetétele: csak fiatalok;A háztartástagok korösszetétele: csak középkorúak;A háztartástagok korösszetétele: csak idõsek;A háztartástagok korösszetétele: csak fiatalok és középkorúak;A háztartástagok korösszetétele: csak fiatalok és idõsek;A háztartástagok korösszetétele: csak középkorúak és idõsek;A háztartástagok korösszetétele: fiatalok, középkorúak és idõsek
Hal, halkonzerv;1,5;1,3;1,2;2,0;2,0;0,9;1,5;1,7;1,7;0,8;2,4;2,4;1,0;2,2;1,8;1,1
Tej, liter;53,0;45,4;46,9;58,8;71,0;50,8;53,4;56,5;51,2;58,0;61,2;73,1;43,8;56,2;59,7;41,5
Joghurt, kefir, tejföl, liter;13,2;10,1;11,5;15,1;18,1;11,0;12,7;14,2;14,8;12,9;17,2;19,3;10,3;9,6;14,5;10,3
Sajt, túró, tejkonzerv, tejpor;7,1;5,4;6,1;8,4;9,6;5,2;7,0;7,6;8,3;6,8;9,6;10,2;5,5;5,4;7,8;5,6
Tojás, db;140;114;113;181;203;154;151;140;115;126;190;222;100;128;171;105
Vaj, vajkrém;1,1;0,9;1,0;1,4;1,5;1,0;1,0;1,1;1,5;1,1;1,7;1,6;0,9;0,9;0,9;0,8
Margarin és növényi zsírok;3,7;3,7;3,1;4,4;5,3;3,9;4,1;3,8;2,8;3,1;4,3;5,6;2,8;3,6;4,4;3,4
Étolaj, olívaolaj;11,0;9,1;9,3;13,8;14,8;12,6;11,7;10,3;9,5;7,9;13,4;16,2;8,6;9,2;11,9;11,5
Állati zsíradék;1,7;1,9;1,2;2,4;2,8;2,6;2,2;1,4;0,7;0,6;2,0;3,0;1,0;1,4;3,1;1,4
Zsiradék összesen;17,6;15,7;14,6;21,9;24,5;20,1;19,0;16,6;14,4;12,7;21,4;26,4;13,3;15,2;20,4;17,2
Citrusfélék;7,2;4,2;5,8;9,1;11,0;4,9;6,2;8,4;9,5;6,9;10,4;12,1;4,9;6,4;7,7;5,3
Banán;5,3;4,1;4,8;5,8;7,1;3,7;5,1;6,1;6,4;9,2;7,5;7,6;4,0;4,5;5,9;3,0
Alma;11,4;9,5;8,5;15,7;18,1;10,5;11,0;11,2;12,8;11,0;15,4;19,9;8,0;7,9;10,4;8,4
Körte;2,2;1,0;1,6;2,7;3,9;1,4;2,3;2,3;2,5;1,4;2,8;4,1;1,4;0,9;2,7;2,1
Õszibarack;3,0;1,9;2,1;5,2;4,8;2,3;2,7;4,0;3,3;2,0;3,4;5,8;2,0;0,9;5,9;0,6
Sárgabarack;0,8;0,3;0,4;2,0;1,4;0,6;0,7;0,7;1,2;0,1;1,0;1,4;0,5;0,5;2,5;0,1
Cseresznye;0,6;0,1;0,4;0,8;1,6;1,0;0,5;0,7;0,5;0,2;0,7;1,6;0,2;0,1;1,6;0,7
Meggy;1,2;0,3;0,7;2,0;2,1;1,1;1,2;1,4;1,1;0,2;1,3;1,9;0,7;0,2;3,5;0,7
Szilva;1,3;0,6;0,8;1,9;2,5;0,8;1,3;1,5;1,4;0,5;2,1;2,7;0,6;0,7;1,9;1,3
Földieper, málna, ribizli;0,9;0,4;0,5;1,4;2,0;0,7;1,0;0,9;0,8;0,7;1,0;2,3;0,4;0,4;1,2;0,6
Szõlõ;1,7;0,6;1,3;1,7;3,1;1,2;1,5;1,5;2,4;1,1;2,1;3,0;1,1;0,9;2,2;1,0
Sárgadinnye;0,8;0,4;0,6;0,9;1,2;0,5;0,6;0,8;1,2;1,0;1,0;1,2;0,5;0,2;1,3;0,5
Görögdinnye;6,4;7,0;5,7;6,8;8,5;5,2;6,3;7,4;6,6;11,2;7,4;9,5;5,1;1,2;7,3;3,6
Egyéb gyümölcs;0,9;0,5;0,8;0,9;1,2;0,4;0,8;0,9;1,4;0,7;1,4;1,1;0,7;0,6;1,0;0,7
Dió, mák, mogyoró, mandula, magvak;1,5;1,0;1,3;1,9;1,7;0,9;1,4;1,7;2,0;1,0;2,3;2,0;1,2;0,9;1,3;1,5
Gyümölcskészítmények;0,6;0,4;0,5;0,7;0,8;0,3;0,6;0,7;0,6;0,5;0,6;0,8;0,5;0,2;0,7;0,6
Gyümölcs összesen;45,8;32,3;35,8;59,4;71,0;35,4;43,2;50,3;53,7;47,7;60,2;77,1;31,7;26,8;56,9;30,7
Leveles, száraz zöldségek;2,3;0,8;1,8;2,8;3,8;1,7;2,1;2,6;2,8;2,2;3,0;4,0;1,4;0,9;4,5;1,2
Káposztafélék;5,1;3,7;3,4;7,8;9,0;5,7;5,0;4,9;5,0;3,3;5,3;10,8;3,1;4,1;6,6;3,9
Uborka;3,2;2,4;2,4;4,3;5,0;3,2;3,3;3,2;2,9;2,0;3,4;5,7;2,0;3,3;4,7;2,7
Paradicsom;6,4;3,3;5,4;7,1;9,8;5,1;6,1;7,9;6,5;7,0;9,5;10,6;4,4;3,4;7,5;3,4
Zöldpaprika;5,3;3,2;4,3;6,3;8,6;4,5;5,2;6,1;5,6;4,2;7,4;9,3;3,8;3,3;5,6;3,2
Zöldbab;0,6;0,8;0,3;0,9;1,3;0,7;0,5;0,7;0,5;0,1;0,5;1,1;0,3;0,7;1,2;0,5
Zöldborsó;0,8;0,7;0,5;1,1;1,5;1,1;0,8;0,7;0,6;0,0;0,8;1,3;0,4;0,6;1,4;1,3
Szárazhüvelyesek;0,9;0,7;0,7;1,2;1,7;1,2;1,1;0,6;0,8;0,3;1,4;1,8;0,6;0,9;1,0;0,6
Gomba;0,9;0,5;0,7;1,0;1,1;0,5;0,9;0,9;1,1;0,6;1,0;1,2;0,7;0,7;0,9;0,7
Sárgarépa, petrezselyemgyökér;7,1;5,7;5,4;9,6;11,3;7,3;7,4;7,2;6,6;4,4;8,3;12,3;5,2;6,2;8,5;5,6
Vöröshagyma;8,8;6,9;6,9;12,3;12,7;10,3;9,5;8,1;7,5;6,9;11,7;14,1;6,4;6,9;11,5;6,2
Egyéb friss zöldség;3,5;2,4;2,6;5,3;5,6;2,2;3,6;3,6;4,5;3,7;4,9;6,7;2,3;2,1;3,6;2,4
