20.2.1.36. A gazdaságilag nem aktívak száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen
Együtt ;;;;;;;;;;;;;;
;IV.;253,0;140,3;42,0;23,2;26,3;26,0;38,8;51,9;96,1;223,4;212,8;166,1;1 299,9
2014.;I.;250,9;139,4;34,3;19,4;24,9;23,3;37,6;54,0;92,2;221,3;215,8;169,2;1 282,4
;II.;248,5;140,5;29,9;19,5;22,0;23,9;33,7;49,7;83,8;218,1;217,2;169,2;1 256,0
;III.;244,4;135,4;28,0;15,2;17,7;23,9;34,6;47,1;79,9;210,3;217,8;172,7;1 227,0
;IV.;244,1;136,0;29,6;16,8;21,4;23,8;35,2;48,5;75,1;214,6;220,5;173,7;1 239,4
2015.;I.;241,0;138,8;29,6;21,0;23,5;24,9;31,5;45,8;76,4;206,7;221,9;175,7;1 236,8
;II.;236,2;134,7;30,0;21,1;20,5;19,6;32,1;39,5;66,9;200,3;223,7;175,2;1 199,8
;III.;232,5;129,4;28,4;18,1;18,1;19,9;31,0;38,4;63,3;193,2;224,4;173,4;1 170,2
;IV.;229,1;133,3;30,5;18,9;17,8;20,3;33,3;37,9;67,5;185,8;227,5;172,5;1 174,4
2016.;I.;230,8;128,5;32,3;17,7;20,8;24,5;32,6;39,3;65,6;177,0;231,2;172,3;1 172,6
;II.;229,7;121,2;27,6;15,8;19,5;20,1;31,9;35,3;62,9;172,7;231,4;172,8;1 140,8
;III.;227,6;117,7;29,9;13,3;17,1;20,7;33,2;35,8;59,1;170,1;231,4;170,8;1 126,7
;IV.;228,3;117,0;36,3;14,3;17,4;19,5;32,5;34,2;59,5;163,8;232,3;171,9;1 127,0
2017.;I.;228,2;122,0;35,8;12,9;19,6;20,3;31,0;32,2;63,6;161,7;234,8;173,8;1 136,0
;II.;228,0;112,3;28,0;13,3;16,0;18,0;28,2;28,3;57,4;160,7;233,4;172,8;1 096,5
;III.;224,4;109,9;26,1;14,6;14,9;20,0;27,2;27,1;54,7;154,3;232,3;175,2;1 080,8
;IV.;223,8;110,4;29,8;11,8;14,8;21,2;26,0;30,6;53,1;153,4;233,0;176,4;1 084,3
2018.;I.;227,1;111,4;30,0;12,5;16,4;22,3;24,3;28,4;51,3;154,1;233,9;177,0;1 088,6
;II.;222,2;111,7;30,1;10,7;14,1;19,0;23,8;30,8;49,0;155,3;231,6;176,7;1 074,8
;III.;221,5;103,4;30,7;11,3;16,5;22,2;24,8;32,9;46,0;143,3;232,3;176,9;1 061,8
;IV.;220,3;105,1;31,1;15,0;15,0;24,7;29,6;31,7;44,8;132,1;229,6;177,4;1 056,5
2019.;I.;220,9;109,0;28,9;15,8;14,9;20,1;24,4;25,4;45,3;123,2;232,9;179,3;1 040,1
;II.;218,7;108,5;31,9;12,9;15,7;20,8;28,4;27,7;47,0;124,1;233,0;177,5;1 046,1
;III.;216,2;103,1;33,9;12,2;14,8;22,2;27,5;28,6;44,5;123,1;231,4;178,2;1 035,8
;IV.;219,1;105,5;32,0;15,3;15,9;19,3;28,6;27,2;48,4;112,9;235,9;178,8;1 039,0
2020.;I.;224,8;104,2;33,3;14,7;19,2;19,8;29,4;31,5;46,2;111,4;241,7;181,7;1 057,9
;II.;232,8;109,1;33,8;21,1;18,8;21,4;26,4;29,1;45,8;101,4;240,8;182,6;1 063,1
;III.;222,3;99,8;29,0;14,9;21,2;17,9;26,9;25,8;41,6;93,6;241,6;186,6;1 021,1
;IV.;226,8;102,7;29,1;15,3;18,8;16,0;27,2;25,8;43,0;89,7;244,4;187,5;1 026,4
2021.;I.;225,5;104,7;33,3;17,9;16,1;19,3;27,8;27,5;37,1;95,8;241,3;188,4;1 034,6
;II.;225,0;103,1;33,7;17,4;15,4;16,7;26,8;22,2;34,4;95,6;237,7;188,7;1 016,6
;III.;220,7;101,8;29,4;21,1;14,6;16,0;25,4;26,3;35,7;84,9;236,4;188,6;1 000,9
;IV.;226,4;102,8;25,9;17,6;15,5;15,6;23,1;27,1;37,2;79,4;236,3;189,0;996,0
2022.;I.;227,7;106,2;24,8;16,5;14,6;15,0;23,5;24,7;38,4;73,4;235,0;191,3;991,0
;II.;228,6;111,0;24,2;15,7;12,9;15,1;23,1;26,9;37,1;73,0;231,6;191,9;991,2
;III.;224,2;100,4;21,8;13,3;13,8;13,7;21,2;28,7;39,3;71,3;228,0;190,7;966,4
;IV.;;;;;;;;;;;;;
nõ;;;;;;;;;;;;;;
2009.;I.;280,5;188,3;72,6;71,3;68,1;58,7;69,8;91,5;224,9;299,7;284,7;252,9;1 962,8
;II.;280,7;184,6;75,6;71,2;65,3;57,2;68,4;89,7;221,3;303,8;283,8;252,9;1 954,5
;III.;278,5;175,4;71,9;72,3;60,4;58,9;65,4;86,3;220,6;307,6;285,2;253,0;1 935,4
;IV.;277,2;176,0;72,7;76,4;61,5;59,2;63,3;85,5;212,8;305,9;286,0;252,6;1 929,1
2010.;I.;277,6;177,6;71,3;72,8;60,7;53,6;57,2;85,7;209,2;310,3;285,6;252,4;1 914,0
;II.;275,6;180,7;73,8;71,2;62,6;53,6;52,4;84,7;201,6;312,1;285,1;252,8;1 906,2
;III.;274,1;174,8;71,9;70,7;67,6;52,7;57,1;78,3;193,0;313,4;284,5;253,1;1 891,3
;IV.;272,4;172,7;70,3;68,1;73,9;58,3;55,9;82,0;189,6;312,8;285,8;253,2;1 894,8
2011.;I.;273,8;178,9;70,3;66,7;75,6;57,8;55,8;84,0;185,9;314,6;286,5;253,0;1 903,0
;II.;273,7;179,8;70,8;65,5;73,8;52,8;50,7;85,7;185,0;312,7;285,7;253,0;1 889,1
;III.;271,1;170,1;73,6;66,8;73,7;53,1;49,8;80,1;187,1;311,7;285,6;252,2;1 874,7
