20.2.1.33. Munkanélküliségi ráta korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
;II.;44,0;13,5;8,0;6,8;7,0;5,1;4,9;5,6;4,7;8,0;             ...;             ...;6,7;15,7
;III.;49,4;11,9;7,1;5,9;5,9;5,4;4,6;6,2;4,6;7,8;             ...;             ...;6,4;15,1
;IV.;28,6;12,5;7,2;6,3;5,0;6,0;4,9;4,7;4,9;5,3;             ...;             ...;6,1;13,8
2016.;I.;29,3;10,9;6,4;5,1;4,9;4,9;4,8;5,1;5,3;7,1;             ...;             ...;5,7;12,1
;II.;19,0;12,7;6,3;4,0;3,4;3,8;3,4;3,8;3,8;4,7;             ...;             ...;4,6;13,2
;III.;26,0;11,4;5,5;4,2;4,3;3,3;3,5;3,8;3,6;5,5;             ...;             ...;4,7;12,8
;IV.;26,8;10,1;5,2;3,0;3,9;3,1;2,8;4,1;3,2;5,7;             ...;             ...;4,2;11,5
2017.;I.;24,2;7,5;6,7;2,8;4,2;3,7;3,0;3,9;3,8;6,9;             ...;             ...;4,4;8,9
;II.;22,0;9,6;5,6;3,3;3,8;3,0;2,8;4,7;3,3;8,0;             ...;             ...;4,3;10,7
;III.;30,0;12,7;4,3;3,6;4,0;3,4;2,3;3,6;3,6;6,3;             ...;             ...;4,4;14,5
;IV.;23,7;10,7;4,8;3,7;4,2;3,7;2,6;3,2;2,9;3,6;             ...;             ...;4,1;11,9
2018.;I.;21,7;9,8;4,3;4,1;3,7;4,2;2,6;3,8;2,4;2,7;             ...;             ...;4,0;11,0
;II.;28,0;8,6;4,3;3,0;3,1;3,4;2,6;2,4;2,0;2,9;             ...;             ...;3,4;10,2
;III.;15,6;10,1;6,1;3,8;3,2;3,4;3,0;2,9;3,1;4,5;             ...;             ...;4,1;10,6
;IV.;20,3;6,6;3,3;2,5;3,5;3,2;2,8;3,0;2,4;5,0;             ...;             ...;3,4;8,0
2019.;I.;33,5;6,8;4,0;2,5;3,5;3,0;2,5;2,8;2,3;3,2;             ...;             ...;3,4;9,8
;II.;24,5;7,2;4,0;2,1;2,8;3,3;2,5;1,9;2,2;2,2;             ...;             ...;3,0;8,9
;III.;21,9;9,7;4,6;2,3;2,6;4,1;2,0;3,2;2,0;2,5;             ...;             ...;3,4;10,8
;IV.;24,7;9,7;4,0;2,7;3,1;2,9;2,4;2,6;1,6;1,4;             ...;             ...;3,2;11,2
2020.;I.;21,5;8,4;4,5;2,7;4,3;3,2;3,5;2,6;1,7;2,9;             ...;             ...;3,6;9,5
