21.2.1.28. A bruttó hazai termék (GDP) termelésében foglalkoztatottak száma negyedévente [ezer fõ];;;;;;;;;;;;;;;;;;;;
Év;Idõszak (negyedév);Mezõgazdaság, erdõgazdálkodás, halászat;Ipar;Ebbõl: feldolgozóipar;Építõipar;Szolgáltatások összesen;Ebbõl: kereskedelem, gépjármûjavítás, szálláshely-szolgáltatás, vendéglátás, szállítás, raktározás;Ebbõl: ezen belül: kereskedelem, gépjármûjavítás;Ebbõl: ezen belül: szálláshely-szolgáltatás, vendéglátás;Ebbõl: szállítás, raktározás;Ebbõl: információ, kommunikáció;Ebbõl: pénzügyi, biztosítási tevékenység;Ebbõl: ingatlanügyletek;Ebbõl: szakmai, tudományos, mûszaki tevékenység, adminisztratív és szolgáltatást támogató tevékenység;"Ebbõl: közigazgatás, védelem; kötelezõ társadalombiztosítás, oktatás, humán-egészségügyi, szociális ellátás";"Ebbõl: ezen belül: közigazgatás, védelem; kötelezõ társadalombiztosítás";Ebbõl: ezen belül: oktatás;Ebbõl: ezen belül: humán-egészségügyi, szociális ellátás;Ebbõl: mûvészet, szórakoztatás, szabad idõ, egyéb szolgáltatás;Nemzetgazdaság összesen
2016.;I.;157,4;902,8;828,5;283,9;3 024,3;1 105,3;646,0;188,9;270,4;131,8;87,2;71,0;448,1;995,1;427,2;279,2;288,8;185,8;4 368,4
;II.;190,0;899,6;814,4;279,5;3 132,5;1 104,8;634,2;200,4;270,1;136,4;84,9;64,3;480,9;1 067,9;468,2;290,3;309,5;193,2;4 501,5
;III.;216,0;930,3;841,5;272,7;3 129,4;1 086,7;625,8;194,7;266,3;135,7;88,4;67,2;485,8;1 067,3;468,3;284,9;314,1;198,2;4 548,4
;IV.;192,0;916,0;835,9;291,3;3 075,4;1 086,9;627,3;194,3;265,3;134,9;90,3;69,8;482,4;1 023,8;452,7;262,8;308,3;187,3;4 474,7
2017.;I.;164,5;935,4;860,7;308,0;3 069,1;1 121,5;659,3;182,4;279,8;134,3;88,6;75,9;466,1;992,6;432,8;272,6;287,2;190,2;4 477,0
;II.;196,8;936,7;848,9;306,1;3 144,3;1 113,4;651,1;183,7;278,7;142,0;88,1;67,7;505,9;1 029,9;431,5;291,7;306,7;197,3;4 583,9
;III.;216,9;974,4;880,6;295,6;3 130,8;1 087,0;641,4;172,7;272,9;141,6;90,1;69,0;506,6;1 033,2;432,8;289,6;310,9;203,3;4 617,7
;IV.;198,3;960,8;873,9;317,1;3 082,1;1 083,8;637,7;174,1;272,0;141,8;89,3;70,5;498,6;1 003,6;415,8;276,6;311,2;194,5;4 558,4
2018.;I.;166,8;961,7;889,6;345,3;3 112,3;1 137,0;669,6;183,6;283,8;141,5;89,4;84,1;499,2;967,7;408,8;271,6;287,3;193,4;4 586,1
;II.;193,3;959,7;870,4;336,7;3 196,8;1 122,5;661,2;181,2;280,0;147,1;86,0;74,5;534,8;1 023,8;408,6;299,7;315,5;208,0;4 686,5
;III.;210,9;997,3;900,1;329,0;3 179,6;1 095,9;645,7;176,9;273,3;150,9;85,4;74,3;524,8;1 029,6;398,4;305,3;325,9;218,7;4 716,7
;IV.;192,4;982,8;895,0;352,4;3 136,4;1 099,3;647,6;177,5;274,2;151,8;83,1;75,3;506,8;1 010,9;386,4;303,1;321,5;209,2;4 664,0
2019.;I.;160,2;984,6;909,0;366,4;3 159,3;1 157,9;686,3;179,4;292,1;151,5;94,9;84,3;518,0;946,9;378,8;273,4;294,7;205,8;4 670,5
;II.;193,0;971,3;880,7;358,4;3 231,3;1 145,1;672,2;186,9;286,0;155,5;90,0;75,8;550,3;995,1;376,0;298,7;320,4;219,6;4 754,0
;III.;206,1;998,0;901,4;345,6;3 201,9;1 106,7;647,5;183,7;275,5;159,7;86,9;75,7;529,1;1 013,9;378,0;304,3;331,6;229,9;4 751,6
;IV.;186,7;976,6;887,8;366,5;3 154,3;1 108,6;645,3;188,7;274,7;160,1;82,9;78,1;505,3;1 001,2;370,6;302,9;327,7;218,0;4 684,1
2020.;I.;163,9;951,9;881,2;396,7;3 199,9;1 159,1;697,8;190,6;270,6;157,8;91,7;90,8;553,4;927,8;364,1;260,8;302,9;219,4;4 712,4
;II.;191,3;914,3;831,1;364,9;3 110,3;1 053,9;649,1;149,6;255,1;159,8;87,5;76,4;542,7;972,8;365,8;283,4;323,6;217,3;4 580,8
;III.;213,1;956,9;865,5;356,9;3 167,4;1 061,3;644,0;166,9;250,4;167,6;86,2;77,0;537,0;1 004,6;378,4;289,8;336,5;233,7;4 694,2
;IV.;191,3;948,9;864,8;378,9;3 144,7;1 069,3;648,1;170,4;250,8;170,0;84,2;77,3;525,8;995,3;371,5;291,2;332,6;222,7;4 663,8
2021.;I.;154,7;933,3;861,5;402,4;3 101,9;1 072,2;654,0;147,9;270,3;171,5;90,4;78,8;543,0;937,2;371,7;261,1;304,4;208,8;4 592,3
;II.;181,5;948,6;864,1;394,3;3 195,9;1 079,1;657,4;155,5;266,2;179,4;85,7;79,6;553,0;992,5;376,0;285,9;330,7;226,5;4 720,2
;III.;201,5;963,4;870,9;379,8;3 220,0;1 078,4;650,8;169,8;257,9;187,8;85,2;80,8;559,7;1 005,2;374,1;293,8;337,3;222,9;4 764,6
;IV.;179,2;960,9;872,3;404,1;3 225,5;1 095,0;663,0;176,2;255,7;188,9;85,7;80,6;556,6;991,4;365,3;292,3;333,8;227,4;4 769,8
2022.;I.;147,6;954,3;880,1;441,4;3 194,6;1 121,3;676,1;171,2;274,0;183,2;94,9;80,8;564,2;928,7;365,7;261,3;301,8;221,4;4 737,9
;II.;168,7;965,2;878,1;422,1;3 268,1;1 123,8;675,7;181,0;267,1;185,6;88,3;81,6;569,5;977,5;365,2;281,1;331,2;241,8;4 824,1
;III.;188,2;973,0;878,0;399,8;3 274,1;1 109,0;666,1;185,7;257,2;194,0;87,5;82,5;576,5;987,6;361,0;293,0;333,6;236,9;4 835,2
;IV.;;;;;;;;;;;;;;;;;;;
2022.;I–III.;168,2;964,2;878,7;421,1;3 245,6;1 118,0;672,7;179,3;266,1;187,6;90,2;81,6;570,1;964,6;364,0;278,5;322,2;233,4;4 799,0
