20.2.1.39. Aktivitási arány korcsoportok szerint, nemenként, negyedévente [%];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen ;"Ebbõl: 
15–24 éves"
Együtt ;;;;;;;;;;;;;;;
;IV.;3,2;42,4;78,1;80,0;83,9;83,0;81,0;74,9;46,1;10,4;3,1;1,1;51,7;23,4
2010.;I.;2,7;41,6;78,2;80,9;84,2;84,6;82,6;74,8;47,3;9,7;3,3;1,2;52,1;22,8
;II.;3,1;40,4;77,1;81,3;83,8;84,7;83,9;75,1;49,5;9,7;3,6;1,1;52,2;22,3
;III.;3,3;42,1;77,4;81,4;82,6;85,0;82,2;77,0;52,0;9,9;4,0;1,0;52,6;23,3
;IV.;3,6;42,5;77,6;82,1;81,2;83,4;82,4;75,9;53,2;10,6;3,6;1,0;52,4;23,7
2011.;I.;2,7;40,2;77,4;82,4;80,8;83,6;82,2;75,3;54,4;10,6;3,5;1,1;52,2;22,1
;II.;2,4;39,7;76,9;82,7;81,4;85,0;83,6;74,8;54,9;11,7;3,9;1,2;52,5;21,6
;III.;3,0;42,7;75,6;82,3;81,6;85,0;83,7;76,5;54,6;12,5;4,0;1,5;52,9;23,5
;IV.;2,4;42,3;77,3;81,6;82,3;85,1;84,6;77,7;55,1;11,8;3,7;1,8;53,0;23,0
2012.;I.;2,1;41,8;77,5;81,3;82,5;85,2;84,3;78,4;54,2;11,6;3,9;1,1;52,9;22,7
;II.;2,4;42,1;77,1;82,1;82,7;86,2;84,5;80,2;55,0;12,1;4,0;1,3;53,3;23,1
;III.;3,3;45,8;80,0;83,9;83,4;85,8;85,1;81,2;54,7;12,3;4,2;1,1;54,2;25,6
;IV.;3,5;44,5;79,4;83,5;83,7;85,9;85,1;80,3;53,5;11,4;4,2;1,1;53,8;25,2
2013.;I.;3,2;42,7;78,6;83,5;83,5;85,6;85,3;79,1;52,8;11,7;3,7;1,0;53,3;24,1
;II.;4,3;41,3;78,8;84,6;84,4;86,2;86,4;79,8;55,5;11,4;4,2;0,8;53,9;24,0
;III.;4,4;43,8;77,6;84,5;86,1;87,3;84,8;80,3;56,8;11,6;4,3;0,3;54,3;25,4
;IV.;3,5;43,2;77,0;85,1;86,0;85,5;86,2;80,9;57,6;12,6;3,9;0,8;54,3;24,8
2014.;I.;4,2;43,8;79,1;85,8;86,8;86,3;86,6;80,8;58,9;12,2;3,4;0,8;54,8;25,5
;II.;4,3;45,3;80,0;84,5;85,6;86,2;86,8;81,1;60,2;13,9;3,3;0,9;55,0;26,5
;III.;5,3;46,5;79,8;84,0;85,3;87,1;88,0;83,3;61,6;14,7;3,5;1,2;55,6;27,7
;IV.;4,9;46,5;79,1;85,1;85,0;87,4;86,8;82,5;61,5;15,5;3,5;1,5;55,4;27,6
2015.;I.;4,0;46,5;80,8;85,6;85,6;87,7;86,9;82,7;62,1;16,5;3,5;1,4;55,7;27,2
;II.;4,3;47,4;79,8;85,4;86,1;87,8;87,3;84,8;63,5;17,8;4,1;1,4;56,3;27,9
;III.;5,5;48,9;79,1;85,3;86,6;88,1;87,6;86,7;63,4;20,1;3,8;1,2;56,8;29,2
;IV.;5,5;48,6;79,0;86,1;86,3;88,5;87,5;85,8;63,7;20,1;4,0;1,1;56,7;29,1
2016.;I.;4,3;48,8;80,4;85,6;85,7;88,3;85,8;85,2;65,7;21,4;4,0;1,1;56,7;28,6
;II.;4,5;47,2;80,8;86,0;86,7;89,0;87,5;85,2;67,0;23,5;3,8;1,2;57,3;27,8
;III.;6,6;50,3;80,3;85,9;87,8;88,1;88,2;85,6;68,3;23,8;4,0;1,7;57,8;30,5
;IV.;5,8;51,5;82,3;85,5;86,8;87,9;88,7;84,7;68,6;24,2;4,9;1,6;58,0;30,7
2017.;I.;5,3;49,6;82,1;85,1;85,7;87,5;90,0;84,1;67,6;23,4;4,2;2,3;57,4;29,4
;II.;5,5;49,8;81,4;84,7;85,4;88,5;89,1;85,4;68,8;24,2;4,5;2,0;57,6;29,5
;III.;6,7;49,6;80,7;86,7;87,6;89,7;89,6;83,6;69,6;25,0;4,0;2,3;58,2;29,8
;IV.;6,0;50,1;81,5;86,2;87,7;89,9;89,0;84,4;67,8;26,8;4,2;2,5;58,3;29,7
2018.;I.;6,0;46,2;80,8;86,2;87,4;89,8;88,5;86,0;70,9;26,2;4,8;3,0;58,3;27,6
;II.;5,1;49,2;81,0;85,4;86,9;90,8;89,7;86,7;69,2;27,0;3,9;3,5;58,5;28,7
;III.;6,8;51,3;81,6;86,1;87,6;89,9;89,9;86,8;70,5;28,1;5,2;2,8;59,1;30,6
;IV.;6,4;50,6;79,6;85,8;87,6;88,8;90,1;86,7;68,9;28,7;4,5;3,1;58,6;30,0
2019.;I.;6,9;46,9;81,6;85,7;87,9;89,2;89,4;85,7;68,7;28,1;6,0;2,9;58,5;28,1
;II.;5,3;46,0;82,8;86,0;87,7;89,5;89,6;85,0;70,4;27,9;7,1;3,1;58,7;26,8
;III.;5,3;49,4;83,9;85,3;87,1;90,0;90,5;83,3;70,8;28,5;6,3;3,2;58,9;28,5
;IV.;6,1;48,9;82,9;84,7;85,6;87,6;91,1;84,7;70,5;29,1;7,4;2,9;58,7;28,5
2020.;I.;5,4;50,3;82,2;81,2;87,0;87,3;89,1;85,4;72,6;29,8;8,3;2,7;58,6;28,8
;II.;4,8;50,3;81,5;81,8;86,1;86,2;88,7;86,0;70,4;31,7;9,2;3,8;58,5;28,4
;III.;6,2;51,3;82,5;82,8;85,8;88,5;88,3;87,4;73,2;31,9;7,2;3,4;59,1;29,6
;IV.;4,1;47,7;82,5;82,1;86,6;86,9;88,5;87,4;73,3;34,4;8,2;2,8;58,9;26,7
2021.;I.;4,1;49,1;80,5;81,7;84,8;87,3;87,8;86,9;73,8;33,8;9,6;3,0;58,7;27,3
;II.;4,5;49,2;81,1;83,1;86,6;88,3;89,7;88,3;76,1;34,1;9,1;3,2;59,6;27,4
;III.;6,2;51,1;81,1;85,7;86,8;89,1;89,8;88,1;78,2;34,3;9,8;3,5;60,3;29,1
;IV.;5,6;52,3;81,6;86,0;87,4;90,4;90,6;88,0;77,4;35,5;10,9;3,4;60,8;29,4
2022.;I.;5,1;49,0;81,9;86,7;86,4;88,7;90,8;88,2;78,2;35,5;9,8;4,2;60,4;27,4
;II.;4,8;47,3;81,0;86,1;86,9;89,1;90,2;89,3;79,0;35,7;9,6;4,4;60,4;26,4
;III.;6,4;50,4;81,6;85,5;88,5;90,1;90,3;89,0;78,3;37,3;9,7;4,1;61,0;28,7
;IV.;;;;;;;;;;;;;;
