20.2.1.4. A 15–74 éves népesség gazdasági aktivitása nemenként, háromhavi mozgóátlag;;;;;;;;;;
Év;Idõszak;Foglalkoztatottak, ezer fõ;Munkanélküliek, ezer fõ;Gazdaságilag aktívak, ezer fõ;Gazdaságilag nem aktívak, ezer fõ;15–74 éves népesség, ezer fõ;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ;Aktivitási arány, %;Munkanélküliségi ráta, %;Foglalkoztatási ráta, %
Együtt ;;;;;;;;;;
;február–április;2 235,0;184,1;2 419,1;1 223,5;3 642,5;302,0;66,4;7,6;61,4
;március–május;2 250,3;173,1;2 423,5;1 217,5;3 641,0;289,6;66,6;7,1;61,8
;április–június;2 278,0;163,5;2 441,5;1 199,8;3 641,3;274,5;67,1;6,7;62,6
;május–július;2 296,9;158,4;2 455,2;1 186,4;3 641,6;269,3;67,4;6,5;63,1
;június–augusztus;2 311,7;155,0;2 466,6;1 175,6;3 642,2;262,4;67,7;6,3;63,5
;július–szeptember;2 319,3;151,8;2 471,1;1 170,2;3 641,3;257,0;67,9;6,1;63,7
;augusztus–október;2 319,8;152,2;2 472,0;1 168,4;3 640,4;254,3;67,9;6,2;63,7
;szeptember–november;2 322,7;151,7;2 474,4;1 165,1;3 639,4;250,2;68,0;6,1;63,8
;október–december;2 318,0;146,1;2 464,1;1 174,4;3 638,5;249,5;67,7;5,9;63,7
;november–2016. január;2 310,6;148,2;2 458,8;1 178,6;3 637,4;253,7;67,6;6,0;63,5
;december–2016. február;2 308,1;147,9;2 456,0;1 179,7;3 635,7;259,7;67,6;6,0;63,5
2016.;január–március;2 314,2;147,0;2 461,2;1 172,6;3 633,8;253,9;67,7;6,0;63,7
