20.2.1.25. A munkanélküliek száma korcsoportok szerint, nemenként, negyedévente [ezer fõ];;;;;;;;;;;;;;;
Év;Negyedév;15–19 éves;20–24 éves;25–29 éves;30–34 éves;35–39 éves;40–44 éves;45–49 éves;50–54 éves;55–59 éves;60–64 éves;65–69 éves;70–74 éves;Összesen;"Ebbõl:
15–24 éves"
Együtt ;;;;;;;;;;;;;;;
;II.;10,8;57,1;49,7;44,0;43,8;44,1;35,6;30,8;30,3;11,8;...;...;358,8;67,9
;III.;12,2;61,0;45,0;36,9;43,9;37,9;27,0;25,8;27,7;13,2;...;...;331,4;73,2
;IV.;9,3;51,9;39,3;38,2;48,9;37,7;28,8;26,9;27,2;9,3;...;...;318,3;61,2
2015.;I.;10,5;53,2;45,1;37,5;46,9;41,1;35,8;32,1;31,1;13,5;...;...;347,3;63,7
;II.;10,6;49,7;40,5;35,7;41,3;33,4;31,6;28,1;22,7;15,7;...;...;310,3;60,3
;III.;12,8;45,7;40,2;30,7;37,5;32,1;27,6;28,8;21,2;14,9;...;...;292,4;58,5
;IV.;8,8;44,1;37,8;30,7;34,5;34,8;29,7;25,6;20,4;13,2;...;...;280,6;52,9
2016.;I.;8,0;39,9;35,1;28,4;36,4;31,8;26,6;28,0;21,6;16,2;...;...;272,6;47,9
;II.;8,0;37,0;35,6;25,3;27,5;27,9;22,1;20,2;16,2;13,6;...;...;234,1;44,9
;III.;10,1;35,0;27,0;23,9;30,0;26,5;22,4;21,8;16,4;12,2;...;...;226,2;45,1
;IV.;9,2;31,6;26,2;18,1;27,2;23,2;20,6;20,3;15,2;12,6;...;...;205,0;40,8
2017.;I.;8,1;26,2;32,0;20,0;24,3;25,0;20,1;20,4;17,2;12,9;...;...;206,6;34,3
;II.;6,8;30,4;24,8;20,0;24,3;21,9;18,8;22,0;13,6;13,5;...;...;196,2;37,3
;III.;9,4;29,5;18,8;21,0;24,7;24,1;17,7;17,7;13,1;11,9;...;...;188,2;38,9
;IV.;8,4;26,2;20,4;20,3;25,5;23,5;15,4;16,3;9,8;9,3;...;...;175,2;34,6
2018.;I.;7,6;25,4;22,5;22,3;20,6;26,8;15,4;19,7;9,6;7,6;...;...;177,8;33,0
;II.;8,9;22,2;20,2;18,8;23,2;23,2;16,3;16,0;9,0;7,1;...;...;165,0;31,1
;III.;7,6;28,8;25,9;19,0;22,2;21,7;17,1;15,0;11,9;8,3;...;...;178,2;36,5
;IV.;8,5;25,5;17,7;17,1;21,1;23,8;17,7;14,2;10,9;9,3;...;...;166,3;34,0
2019.;I.;10,4;25,6;22,7;14,2;19,1;22,1;18,0;14,8;10,9;6,2;...;...;165,0;36,0
;II.;7,9;26,6;22,1;12,5;17,0;23,0;16,8;9,6;12,1;6,9;...;...;155,2;34,5
;III.;8,6;29,4;25,7;13,0;14,0;25,2;14,4;15,2;9,3;5,9;…;…;162,4;37,9
;IV.;9,6;30,3;22,4;13,6;14,7;17,5;17,4;14,4;7,1;5,3;…;…;153,1;39,9
2020.;I.;8,4;28,0;25,3;15,3;21,1;22,2;21,2;14,3;8,7;6,5;…;…;173,0;36,5
;II.;7,6;36,8;34,2;20,1;20,3;28,7;25,6;19,5;13,9;7,1;…;…;214,2;44,4
;III.;8,8;34,5;29,1;20,5;24,0;25,8;22,9;16,5;15,5;8,5;…;…;207,8;43,3
;IV.;6,7;27,8;31,2;17,9;22,5;24,9;19,6;16,2;16,6;10,2;…;…;195,4;34,5
2021.;I.;9,0;32,7;29,8;28,0;24,7;24,3;23,3;15,9;13,3;9,3;…;…;214,8;41,8
;II.;10,2;30,9;28,0;21,1;21,4;19,6;20,9;21,5;13,3;8,3;…;…;198,0;41,1
;III.;12,3;34,2;23,3;20,0;19,6;20,7;17,2;19,2;14,1;6,7;…;…;189,7;46,5
;IV.;8,1;31,0;21,0;20,4;17,8;20,3;18,8;18,1;15,8;6,3;…;…;180,3;39,1
2022.;I.;7,2;24,1;22,9;20,6;17,6;19,1;20,1;22,8;14,9;9,6;…;…;181,1;31,3
;II.;7,3;21,6;16,0;16,9;19,0;17,2;16,5;17,0;11,4;11,1;…;…;156,9;28,9
;III.;8,6;25,6;25,6;16,1;19,8;17,7;19,2;19,5;12,2;11,7;…;…;178,3;34,2
;IV.;;;;;;;;;;;;;;
Ebbõl:;;;;;;;;;;;;;;;
férfi;;;;;;;;;;;;;;;
2009.;I.;7,7;34,8;35,9;33,4;26,4;29,4;25,0;16,5;14,5;1,8;...;...;225,4;42,5
;II.;6,3;38,5;38,4;28,7;28,5;25,2;25,5;16,0;15,5;1,2;...;...;224,0;44,8
