21.2.1.15. A bruttó hazai termék (GDP) végsõ felhasználása 2015. évi átlagáron, szezonálisan és naptári hatással kiigazított és kiegyensúlyozott negyedéves adatok [millió forint];;;;;;;;;;;;;;;;;;;;;;
Év;Negyedév;Háztartások fogyasztási kiadása;Természetbeni társadalmi juttatás a kormányzattól;Természetbeni társadalmi juttatás a háztartásokat segítõ nonprofit intézményektõl;Háztartások tényleges fogyasztása;Közösségi fogyasztás;Végsõ fogyasztás összesen;Bruttó állóeszköz-felhalmozás;Készletváltozás;Értéktárgyak beszerzésének és eladásának egyenlege;Bruttó felhalmozás összesen;Belföldi felhasználás összesen;Export áruk;Export szolgáltatások;Export összesen;Import áruk;Import szolgáltatások;Import összesen;Egyenleg áruk;Egyenleg szolgáltatások;Egyenleg összesen;Bruttó hazai termék (GDP) összesen
2017.;I.;4 452 964;845 613;162 522;5 454 616;895 414;6 337 038;1 987 778;x;x;2 252 895;8 594 814;6 493 803;1 862 190;8 342 167;6 505 127;1 282 798;7 781 154;x;x;x;9 162 797
;II.;4 510 432;851 890;166 659;5 527 970;919 563;6 451 851;2 060 592;x;x;2 072 976;8 527 021;6 564 981;1 880 817;8 431 910;6 434 343;1 301 941;7 734 130;x;x;x;9 271 655
;III.;4 566 494;858 127;185 577;5 605 471;940 663;6 544 989;2 101 653;x;x;2 195 744;8 728 072;6 581 165;1 902 389;8 507 843;6 559 998;1 305 800;7 876 652;x;x;x;9 360 393
;IV.;4 627 789;858 672;181 623;5 678 350;965 153;6 652 790;2 145 403;x;x;2 212 432;8 858 809;6 602 983;1 938 675;8 543 237;6 598 959;1 306 274;7 900 485;x;x;x;9 493 180
2018.;I.;4 678 732;848 469;190 263;5 709 327;966 140;6 683 025;2 228 235;x;x;2 356 120;9 068 095;6 701 765;2 027 831;8 695 961;6 851 315;1 308 766;8 156 573;x;x;x;9 658 417
;II.;4 731 935;843 928;195 514;5 768 390;969 465;6 754 172;2 384 456;x;x;2 476 203;9 181 863;6 916 862;2 075 240;8 969 466;7 047 808;1 379 834;8 426 447;x;x;x;9 749 831
;III.;4 783 503;848 763;200 161;5 829 730;968 761;6 801 964;2 482 388;x;x;2 670 762;9 482 358;6 647 801;2 045 053;8 738 597;6 952 465;1 407 398;8 368 671;x;x;x;9 897 458
;IV.;4 836 009;847 842;200 323;5 884 620;971 106;6 827 825;2 549 604;x;x;2 622 301;9 430 183;7 024 111;2 083 622;9 107 170;7 193 713;1 334 540;8 519 778;x;x;x;9 996 138
2019.;I.;4 895 240;858 868;198 706;5 941 515;1 022 432;6 957 663;2 708 600;x;x;2 783 293;9 728 122;7 110 766;2 201 376;9 250 302;7 354 936;1 488 104;8 833 400;x;x;x;10 188 679
;II.;4 964 219;868 326;199 298;6 032 683;1 038 648;7 062 616;2 742 497;x;x;2 840 736;9 809 387;7 101 002;2 221 689;9 286 347;7 374 636;1 535 939;8 904 514;x;x;x;10 226 878
;III.;5 032 779;860 500;200 533;6 071 852;1 079 303;7 154 347;2 800 273;x;x;2 872 310;10 066 986;7 322 246;2 206 301;9 599 752;7 680 371;1 640 326;9 328 068;x;x;x;10 372 737
;IV.;5 113 875;864 074;202 401;6 188 936;1 099 654;7 309 604;2 626 109;x;x;2 849 217;10 212 961;7 072 781;2 220 559;9 300 324;7 549 148;1 605 326;9 152 168;x;x;x;10 421 907
2020.;I.;5 141 852;846 902;204 526;6 190 989;1 072 607;7 214 091;2 592 046;x;x;2 922 541;10 189 726;7 166 860;2 115 674;9 228 248;7 570 071;1 520 540;9 086 686;x;x;x;10 365 949
;II.;4 633 769;758 286;206 205;5 597 396;1 108 580;6 747 109;2 451 654;x;x;2 476 796;9 162 571;5 692 161;1 376 374;7 076 277;6 232 177;1 229 933;7 467 905;x;x;x;8 877 601
;III.;4 915 440;828 817;208 458;5 950 567;1 097 778;7 049 003;2 435 055;x;x;2 530 832;9 558 404;7 561 071;1 620 262;9 244 054;7 623 388;1 261 949;8 890 369;x;x;x;9 937 417
;IV.;5 046 991;816 193;208 722;6 039 926;1 125 235;7 199 108;2 623 120;x;x;2 648 505;9 851 711;7 835 694;1 697 913;9 586 698;8 030 627;1 354 087;9 377 094;x;x;x;10 075 739
2021.;I.;4 864 497;815 946;210 551;5 904 777;1 135 788;7 057 661;2 534 551;x;x;2 563 709;9 743 960;7 948 419;1 730 647;9 698 586;7 941 070;1 393 295;9 342 232;x;x;x;10 188 345
;II.;5 118 301;809 243;208 752;6 108 764;1 129 968;7 242 221;2 670 522;x;x;3 070 445;10 242 492;7 837 264;1 817 906;9 651 950;8 144 117;1 341 402;9 499 015;x;x;x;10 429 193
;III.;5 312 508;818 014;209 904;6 316 549;1 143 681;7 478 116;2 729 640;x;x;3 097 416;10 561 276;7 589 659;1 903 135;9 538 812;8 090 229;1 482 401;9 569 058;x;x;x;10 606 889
;IV.;5 438 269;829 067;212 407;6 448 922;1 130 251;7 565 699;2 688 192;x;x;3 082 857;10 598 590;7 799 878;2 032 065;9 847 755;8 037 364;1 557 342;9 578 759;x;x;x;10 825 166
2022.;I.;5 508 440;841 252;210 748;6 535 749;1 144 479;7 716 966;2 802 522;x;x;3 152 813;10 884 627;8 104 541;2 128 960;10 190 207;8 508 986;1 615 274;10 120 039;x;x;x;10 996 474
;II.;5 575 967;852 747;216 370;6 631 439;1 144 069;7 779 209;2 826 790;x;x;3 114 129;10 846 277;8 199 563;2 234 328;10 399 037;8 481 575;1 698 160;10 164 580;x;x;x;11 085 393
;III.;5 601 427;858 376;217 976;6 627 884;1 151 059;7 772 101;2 845 022;x;x;3 019 876;10 728 943;8 625 348;2 225 459;10 873 799;8 847 070;1 750 173;10 574 437;x;x;x;11 037 220
;IV.;;;;;;;;;;;;;;;;;;;;;
2022.;I–III.;16 685 834;2 552 375;645 094;19 795 072;3 439 607;23 268 276;8 474 334;x;x;9 286 818;32 459 847;24 929 452;6 588 747;31 463 043;25 837 631;5 063 607;30 859 056;x;x;x;33 119 087
