;II.;350 176;x;176 530;526 706;362 400;x;191 672;554 072;-12 224;x;-15 142;-27 366;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;III.;433 912;x;206 771;640 683;365 155;x;206 822;571 977;68 757;x;-51;68 706;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
;IV.;467 776;x;232 174;699 950;423 593;x;230 774;654 367;44 183;x;1 400;45 583;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x;x
1996.;I.;395 120;x;212 894;608 014;366 283;x;258 357;624 640;28 837;x;-45 463;-16 626;315 042;x;213 966;529 008;321 492;x;220 791;542 283;-6 450;x;-6 825;-13 275;x;x;x;x;x;x;x;x
2007.;I.;3 612 137;2 518 234;1 072 957;4 685 094;3 299 779;2 246 750;1 402 103;4 701 882;312 358;271 484;-329 146;-16 788;3 750 310;2 630 340;1 103 432;4 853 742;3 398 331;2 321 023;1 501 275;4 899 606;351 979;309 317;-397 843;-45 864;123,7;123,5;106,6;119,4;118,0;120,4;108,5;114,9
;II.;3 784 494;2 560 111;1 074 206;4 858 700;3 429 466;2 330 008;1 390 230;4 819 696;355 028;230 103;-316 024;39 004;4 009 834;2 672 987;1 123 546;5 133 380;3 583 559;2 407 033;1 514 806;5 098 365;426 275;265 954;-391 260;35 015;125,3;116,0;93,8;116,8;120,3;113,3;104,7;115,2
;III.;3 968 805;2 596 630;1 170 742;5 139 547;3 462 377;2 292 177;1 610 034;5 072 411;506 428;304 453;-439 292;67 136;4 107 590;2 709 690;1 211 878;5 319 468;3 576 836;2 367 951;1 712 999;5 289 835;530 754;341 739;-501 121;29 633;126,8;113,0;93,7;117,4;117,6;108,2;110,6;115,2
;IV.;4 147 435;2 661 905;1 201 457;5 348 892;3 610 415;2 346 612;1 791 564;5 401 979;537 020;315 293;-590 107;-53 087;4 314 701;2 778 993;1 233 594;5 548 295;3 714 419;2 424 186;1 903 176;5 617 595;600 282;354 807;-669 582;-69 300;121,6;113,0;86,9;111,7;110,9;107,5;113,1;111,6
2008.;I.;4 223 936;3 066 687;1 293 390;5 517 326;3 758 957;2 924 135;1 759 469;5 518 426;464 979;142 552;-466 079;-1 100;4 126 062;3 010 169;1 276 296;5 402 358;3 664 382;2 863 997;1 695 687;5 360 069;461 680;146 172;-419 391;42 289;114,8;119,5;119,6;115,9;111,5;127,5;120,9;114,4
;II.;4 287 619;3 095 266;1 214 358;5 501 977;3 749 932;2 926 253;1 697 471;5 447 403;537 687;169 013;-483 113;54 574;4 298 041;3 130 669;1 164 699;5 462 740;3 766 131;2 956 094;1 704 391;5 470 522;531 910;174 575;-539 692;-7 782;111,8;122,3;107,2;110,8;108,7;126,9;120,5;112,2
;III.;4 022 717;2 873 084;1 207 878;5 230 595;3 609 900;2 802 338;1 635 998;5 245 898;412 817;70 746;-428 120;-15 303;4 130 520;2 966 465;1 231 425;5 361 945;3 721 283;2 916 140;1 575 807;5 297 090;409 237;50 325;-344 382;64 855;104,9;114,3;105,1;104,9;107,6;127,2;98,5;104,7
;IV.;4 129 248;2 933 769;1 197 610;5 326 858;3 506 343;2 717 827;1 848 729;5 355 072;622 905;215 942;-651 119;-28 214;4 014 261;2 853 158;1 131 414;5 145 675;3 399 419;2 639 795;1 647 196;5 046 615;614 842;213 363;-515 782;99 060;97,1;107,2;94,8;96,6;94,6;112,5;92,7;93,9
2009.;I.;3 784 248;2 806 569;1 024 013;4 808 261;3 234 097;2 556 124;1 475 454;4 709 551;550 151;250 445;-451 441;98 710;3 515 954;2 574 309;945 566;4 461 520;2 978 587;2 324 675;1 339 227;4 317 814;537 367;249 634;-393 661;143 706;84,7;85,5;72,4;81,8;80,9;81,2;75,4;79,1
;II.;3 750 244;2 772 973;1 108 216;4 858 460;3 219 617;2 546 365;1 321 042;4 540 659;530 627;226 608;-212 826;317 801;3 593 088;2 621 938;1 076 738;4 669 826;3 083 524;2 402 250;1 299 702;4 383 226;509 564;219 688;-222 964;286 600;83,1;83,7;90,4;84,7;81,5;81,3;72,8;78,7
