14.1.1.35. A tartós fogyasztási cikkek éves átlagos állománya a gyermekes, a gyermek nélküli és az egyszemélyes háztartásokban [100 háztartásra jutó darab];;;;;;;;;;;;;;;;
Megnevezés;Gyermekes háztartások: egy felnõtt egy vagy több gyermekkel;Gyermekes háztartások: kettõ felnõtt egy gyermekkel;Gyermekes háztartások: kettõ felnõtt kettõ gyermekkel;Gyermekes háztartások: kettõ felnõtt három és több gyermekkel;Gyermekes háztartások: egyéb;Gyermekes háztartások összesen;Gyermek nélküli háztartások: egyszemélyes;Gyermek nélküli háztartások: kettõ felnõtt mindketten 65 évnél fiatalabbak;Gyermek nélküli háztartások: kettõ felnõtt legalább az egyikük 65 éves vagy idõsebb;Gyermek nélküli háztartások: egyéb;Gyermek nélküli háztartások összesen;Egyszemélyes háztartások összesen;Egyszemélyes háztartásokból: férfiak;Egyszemélyes háztartásokból: nõk;Egyszemélyes háztartásokból: 65 év alattiak;Egyszemélyes háztartásból: 65 évesek és idõsebbek
LED-,LCD-, plazma-, lézertelevízió;66;104;115;89;121;103;46;80;76;113;67;46;47;45;51;41
Digitális kamera;6;17;18;16;12;15;3;9;8;12;6;3;5;2;4;2
Digitális fényképezõgép;40;52;63;50;41;51;15;39;26;46;26;15;18;14;23;8
DVD-lejátszó és -felvevõ;44;45;60;40;50;49;21;38;31;48;30;21;25;19;28;15
E-könyv olvasó;6;9;7;5;6;7;1;5;1;6;3;1;2;1;2;0
Házimozi-berendezés;9;14;14;12;12;13;4;10;5;14;7;4;6;2;7;1
Asztali számítógép (PC);48;56;67;66;68;61;23;52;35;65;37;23;29;20;32;15
Hordozható számítógép (laptop, notebook);67;81;88;85;93;83;26;64;35;84;43;26;29;25;40;13
Kézi számítógép (tablet, PDA);19;35;39;48;28;34;7;15;7;25;11;7;8;6;12;2
Mobiltelefon;206;248;287;314;354;280;98;205;162;306;159;98;105;93;110;85
Vezetékes telefon;36;42;43;37;49;42;46;46;69;58;52;46;34;54;30;62
Légkondicionáló;6;10;15;15;11;11;6;8;8;7;7;6;6;6;7;5
